source,target,id
62,165,1322
244,126,1323
244,278,1324
244,390,1325
245,34,1327
230,63,1328
230,126,1329
230,278,1330
230,390,1331
229,385,1332
229,16,1333
229,19,1334
229,126,1335
228,126,1336
228,19,1337
228,16,1338
47,134,1340
47,385,1341
223,385,1342
223,126,1343
224,134,1344
61,385,1346
61,161,1347
61,112,1348
61,71,1349
70,126,1350
70,385,1351
72,126,1353
72,9,1354
72,384,1355
185,385,1356
185,9,1357
185,126,1358
185,16,1359
185,140,1360
47,71,1361
425,71,1362
425,19,1363
425,60,1364
425,112,1365
425,126,1366
425,140,1367
425,386,1368
425,73,1369
426,141,1370
426,153,1371
426,226,1372
426,131,1373
426,127,1374
17,183,1375
17,140,1376
426,140,1377
426,131,1378
426,127,1379
64,10,1380
64,14,1381
64,126,1382
64,130,1383
64,140,1384
64,384,1385
64,385,1386
64,389,1387
64,389,1388
68,11,1389
68,16,1390
68,30,1391
68,130,1392
68,126,1393
63,126,1395
63,409,1396
63,390,1397
63,384,1398
63,278,1399
52,126,1400
52,130,1401
52,140,1402
52,384,1403
52,385,1404
69,385,1405
69,384,1406
69,126,1407
148,126,1408
148,390,1409
148,384,1410
148,278,1411
146,19,1412
146,126,1413
138,130,1414
138,131,1415
138,408,1416
151,10,1417
151,126,1418
151,384,1419
151,385,1420
67,126,1422
67,134,1423
154,126,1424
154,10,1425
57,134,1426
156,134,1427
73,126,1428
73,16,1429
73,281,1430
158,126,1431
158,385,1432
158,10,1433
8,126,1434
8,127,1435
8,131,1436
8,134,1437
8,135,1438
8,385,1439
53,385,1440
53,126,1441
53,127,1442
161,126,1443
161,134,1444
161,19,1445
161,27,1446
161,385,1447
169,131,1448
169,135,1449
169,134,1450
169,130,1451
174,131,1452
174,135,1453
174,172,1454
176,131,1455
176,135,1456
177,135,1457
177,134,1458
177,130,1459
177,131,1460
178,130,1461
178,131,1462
178,134,1463
178,135,1464
179,135,1465
179,134,1466
179,130,1467
179,131,1468
180,131,1469
180,130,1470
180,134,1471
180,135,1472
181,134,1474
181,130,1475
181,131,1476
182,131,1477
182,130,1478
182,134,1479
182,135,1480
163,130,1481
164,130,1482
164,384,1483
165,384,1484
165,134,1485
165,33,1486
